time, signal
2.607137e-03,3.400000e+00
2.570634e-03,3.440000e+00
2.535734e-03,3.480000e+00
2.502287e-03,3.520000e+00
2.470377e-03,3.560000e+00
2.439857e-03,3.600000e+00
2.410699e-03,3.640000e+00
2.382816e-03,3.680000e+00
2.356196e-03,3.720000e+00
2.330770e-03,3.760000e+00
2.306521e-03,3.800000e+00
2.283354e-03,3.840000e+00
2.261339e-03,3.880000e+00
2.240316e-03,3.920000e+00
2.220309e-03,3.960000e+00
2.201294e-03,4.000000e+00
2.183227e-03,4.040000e+00
2.166095e-03,4.080000e+00
2.149887e-03,4.120000e+00
2.134518e-03,4.160000e+00
2.119986e-03,4.200000e+00
2.106346e-03,4.240000e+00
2.093439e-03,4.280000e+00
2.081390e-03,4.320000e+00
2.070112e-03,4.360000e+00
2.059553e-03,4.400000e+00
2.049803e-03,4.440000e+00
2.040706e-03,4.480000e+00
2.032374e-03,4.520000e+00
2.024727e-03,4.560000e+00
2.017799e-03,4.600000e+00
2.011564e-03,4.640000e+00
2.006008e-03,4.680000e+00
2.001110e-03,4.720000e+00
1.996884e-03,4.760000e+00
1.993266e-03,4.800000e+00
1.990385e-03,4.840000e+00
1.988136e-03,4.880000e+00
1.986492e-03,4.920000e+00
1.985564e-03,4.960000e+00
1.985236e-03,5.000000e+00
1.985564e-03,5.040000e+00
1.986492e-03,5.080000e+00
1.988136e-03,5.120000e+00
1.990385e-03,5.160000e+00
1.993266e-03,5.200000e+00
1.996884e-03,5.240000e+00
2.001110e-03,5.280000e+00
2.006008e-03,5.320000e+00
2.011564e-03,5.360000e+00
2.017799e-03,5.400000e+00
2.024727e-03,5.440000e+00
2.032374e-03,5.480000e+00
2.040706e-03,5.520000e+00
2.049803e-03,5.560000e+00
2.059553e-03,5.600000e+00
2.070112e-03,5.640000e+00
2.081390e-03,5.680000e+00
2.093439e-03,5.720000e+00
2.106346e-03,5.760000e+00
2.119986e-03,5.800000e+00
2.134518e-03,5.840000e+00
2.149887e-03,5.880000e+00
2.166095e-03,5.920000e+00
2.183227e-03,5.960000e+00
2.201294e-03,6.000000e+00
2.220309e-03,6.040000e+00
2.240316e-03,6.080000e+00
2.261339e-03,6.120000e+00
2.283354e-03,6.160000e+00
2.306521e-03,6.200000e+00
2.330770e-03,6.240000e+00
2.356196e-03,6.280000e+00
2.382816e-03,6.320000e+00
2.410699e-03,6.360000e+00
2.439857e-03,6.400000e+00
2.470377e-03,6.440000e+00
2.502287e-03,6.480000e+00
2.535734e-03,6.520000e+00
2.570634e-03,6.560000e+00
